City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,Ketchikan,55.34,-131.65,39.2,100,90,4.79,US,2020-11-06 07:17:14
184,Bloemfontein,-29.12,26.21,69.8,60,0,11.41,ZA,2020-11-06 07:17:14
185,Cayenne,4.93,-52.33,73.4,100,90,3.11,GF,2020-11-06 07:17:14
186,Vostok,46.49,135.88,35.58,100,100,6.58,RU,2020-11-06 07:17:15
187,Bethel,41.37,-73.41,52.0,93,1,4.27,US,2020-11-06 07:16:21
188,Lompoc,34.64,-120.46,57.2,87,1,3.36,US,2020-11-06 07:14:49
189,Sinnamary,5.38,-52.95,76.59,85,0,4.85,GF,2020-11-06 07:17:15
190,Prince Rupert,54.32,-130.32,41.0,100,1,6.93,CA,2020-11-06 07:17:15
191,Sao Francisco,-15.95,-44.86,68.2,89,100,4.27,BR,2020-11-06 07:17:15
192,Vila Franca Do Campo,37.72,-25.43,59.0,72,20,12.75,PT,2020-11-06 07:17:15
193,Piacabucu,-10.41,-36.43,76.51,87,13,9.91,BR,2020-11-06 07:17:16
194,Hualmay,-11.1,-77.61,59.07,85,10,7.18,PE,2020-11-06 07:17:16
195,Hermanus,-34.42,19.23,66.99,65,50,7.0,ZA,2020-11-06 07:17:16
196,Saint-Pierre,-21.34,55.48,82.4,58,75,16.11,RE,2020-11-06 07:17:16
197,Hokitika,-42.72,170.97,57.94,95,57,3.33,NZ,2020-11-06 07:17:16
198,Port Lincoln,-34.73,135.87,57.99,57,47,13.98,AU,2020-11-06 07:17:17
199,Hithadhoo,-0.6,73.08,83.53,73,50,6.02,MV,2020-11-06 07:17:17
200,Montrose,38.42,-108.27,48.0,56,1,9.17,US,2020-11-06 07:17:17
201,Ambon,-3.7,128.18,83.79,72,24,8.86,ID,2020-11-06 07:17:17
202,Kavaratti,10.57,72.64,83.62,66,0,1.25,IN,2020-11-06 07:17:17
203,Lasa,46.62,10.7,50.0,86,75,2.24,IT,2020-11-06 07:14:35
204,Dingle,11.0,122.67,84.4,78,65,9.08,PH,2020-11-06 07:17:18
205,Viedma,-40.81,-63.0,57.94,43,100,7.72,AR,2020-11-06 07:17:18
206,Chalus,36.66,51.42,62.6,82,75,3.53,IR,2020-11-06 07:17:18
207,Lichinga,-13.31,35.24,77.0,41,0,13.87,MZ,2020-11-06 07:17:18
208,Vanimo,-2.67,141.3,78.31,88,100,8.21,PG,2020-11-06 07:17:19
