City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,Zabaykalsk,RU,49.63,117.32,15.75,91,43,12.53,scattered clouds
256,Muros,ES,42.78,-9.06,60.01,87,88,21.99,light rain
257,Sorland,NO,67.67,12.69,42.01,67,99,15.41,overcast clouds
258,Chuy,UY,-33.7,-53.46,58.89,94,0,5.79,clear sky
259,Acarau,BR,-2.89,-40.12,78.51,79,67,13.6,broken clouds
260,Bilma,NE,18.69,12.92,64.11,46,0,12.03,clear sky
261,Komsomolskiy,UZ,40.43,71.72,50.0,25,1,4.7,clear sky
262,Bonoua,CI,5.27,-3.6,80.6,88,20,5.82,few clouds
263,Urengoy,RU,65.97,78.37,29.43,99,100,3.18,overcast clouds
264,Sept-Iles,CA,50.2,-66.38,26.6,68,0,4.7,clear sky
265,Aripuana,BR,-9.17,-60.63,75.85,75,6,1.83,light rain
266,Les Cayes,HT,18.2,-73.75,78.03,87,100,11.68,light rain
267,Vila Velha,BR,-20.33,-40.29,73.4,94,75,3.36,broken clouds
268,Aksu,CN,41.12,80.26,49.75,40,0,2.35,clear sky
269,Senanga,ZM,-16.12,23.27,75.58,38,53,2.66,broken clouds
270,Humaita,BR,-7.51,-63.02,74.35,94,50,1.23,scattered clouds
271,Ust-Nera,RU,64.57,143.2,-7.38,82,26,5.32,scattered clouds
272,Namatanai,PG,-3.67,152.43,84.61,69,47,2.46,scattered clouds
273,Burnie,AU,-41.07,145.92,61.0,59,0,8.01,clear sky
274,Tahoua,NE,14.89,5.27,69.8,28,0,4.7,clear sky
275,Pangai,TO,-19.8,-174.35,78.8,65,20,10.29,few clouds
276,Abha,SA,18.22,42.51,57.2,54,0,0.54,clear sky
277,Longyearbyen,SJ,78.22,15.64,30.2,80,20,2.24,few clouds
278,Darhan,MN,49.49,105.92,32.31,81,0,5.66,clear sky
279,Udachnyy,RU,66.42,112.4,1.4,84,0,4.47,clear sky
280,Kurilsk,RU,45.23,147.88,46.26,75,95,22.28,light rain
281,Bambous Virieux,MU,-20.34,57.76,77.0,78,75,17.22,shower rain
282,Arlit,NE,18.74,7.39,68.74,30,26,10.8,scattered clouds
283,Sovetskiy,RU,61.36,63.58,28.94,98,37,4.5,scattered clouds
284,Sibolga,ID,1.74,98.78,86.25,64,66,5.95,light rain
285,Melito Di Porto Salvo,IT,37.92,15.77,60.01,73,0,9.6,clear sky
286,Dothan,US,31.22,-85.39,72.0,78,1,10.29,clear sky
287,Pansemal,IN,21.65,74.7,77.23,30,0,4.92,clear sky
288,Kampot,KH,10.62,104.18,84.2,70,40,8.05,scattered clouds
289,La Ronge,CA,55.1,-105.28,17.6,85,100,12.75,light snow
290,Phalodi,IN,27.13,72.37,81.39,16,0,5.53,clear sky
291,Kahului,US,20.89,-156.47,82.4,65,40,14.99,scattered clouds
292,Lae,PG,-6.72,146.98,89.6,59,40,12.75,scattered clouds
293,Nijar,ES,36.97,-2.21,59.0,82,0,8.05,clear sky
294,Chimbote,PE,-9.09,-78.58,60.31,87,49,5.88,scattered clouds
295,Santa Rosalia,MX,27.32,-112.28,69.15,64,0,6.13,clear sky
296,Marovoay,MG,-16.1,46.63,80.6,61,0,5.82,clear sky
297,Richards Bay,ZA,-28.78,32.04,72.55,89,0,8.41,clear sky
298,Derzhavinsk,KZ,51.1,66.32,39.94,78,84,21.34,broken clouds
299,Los Llanos De Aridane,ES,28.66,-17.92,66.2,59,0,8.05,clear sky
300,Necochea,AR,-38.55,-58.74,54.0,94,1,5.01,clear sky
301,Contamana,PE,-7.33,-75.02,77.09,69,78,0.78,broken clouds
302,Klaksvik,FO,62.23,-6.59,42.8,87,94,3.36,light rain
303,Gizo,SB,-8.1,156.84,84.67,70,85,4.88,light rain
304,Chumphon,TH,10.33,98.83,84.2,79,40,2.24,light rain
305,Andradina,BR,-20.9,-51.38,76.66,36,0,7.92,clear sky
306,Yatou,CN,37.15,122.38,51.28,45,0,16.8,clear sky
307,Orlik,RU,52.52,99.83,25.88,88,3,3.0,clear sky
308,Myre,NO,69.1,15.95,37.4,69,100,21.92,overcast clouds
309,Sheridan,US,44.83,-106.92,55.0,70,1,4.7,clear sky
